City,County,Type,Zip,latitude,longitude
Lamont,Jefferson,Standard,32336,30.416739,-83.8239
Lloyd,Jefferson,P.O. Box,32337,30.478502,-84.02083
Madison,Madison,Standard,32340,30.476181,-83.40303
Madison,Madison,P.O. Box,32341,30.47756,-83.391393
Midway,Gadsden,Standard,32343,30.494878,-84.46259
Monticello,Jefferson,Standard,32344,30.530854,-83.88017
Monticello,Jefferson,P.O. Box,32345,30.342161,-83.840177
Panacea,Wakulla,Standard,32346,29.983931,-84.38798
Perry,Taylor,Standard,32347,30.080602,-83.58119
Perry,Taylor,Standard,32348,29.966454,-83.659371
Pinetta,Madison,Standard,32350,30.594145,-83.32545
Quincy,Gadsden,Standard,32351,30.573563,-84.6147
Quincy,Gadsden,Standard,32352,30.665715,-84.75363
Quincy,Gadsden,P.O. Box,32353,30.549676,-84.606864
Saint Marks,Wakulla,P.O. Box,32355,30.162414,-84.20923
Salem,Taylor,P.O. Box,32356,29.900822,-83.42088
Shady Grove,Taylor,P.O. Box,32357,30.28163,-83.63082
Sopchoppy,Wakulla,Standard,32358,30.029899,-84.50595
Steinhatchee,Taylor,Standard,32359,29.673459,-83.38416
Telogia,Liberty,P.O. Box,32360,30.184365,-84.88355
Wacissa,Jefferson,P.O. Box,32361,30.357761,-83.98882
Woodville,Leon,P.O. Box,32362,30.319263,-84.267397
Tallahassee,Leon,Unique,32395,30.479347,-84.346204
Tallahassee,Leon,Unique,32399,30.420146,-84.23331
Panama City,Bay,Standard,32401,30.161901,-85.65297
Panama City,Bay,P.O. Box,32402,30.234451,-85.692035
Panama City,Bay,Standard,32403,30.068188,-85.60975
Panama City,Bay,Standard,32404,30.188585,-85.56392
Panama City,Bay,Standard,32405,30.195424,-85.66458
Panama City,Bay,P.O. Box,32406,30.234451,-85.692035
Panama City Beach,Bay,Standard,32407,30.196771,-85.81279
Panama City,Bay,Standard,32408,30.154621,-85.76367
Panama City,Bay,Standard,32409,30.330553,-85.65413
Mexico Beach,Bay,P.O. Box,32410,29.945008,-85.41461
Panama City,Bay,P.O. Box,32411,30.234451,-85.692035
Panama City,Bay,P.O. Box,32412,30.234451,-85.692035
Panama City Beach,Bay,Standard,32413,30.252616,-85.90413
Panama City,Bay,P.O. Box,32417,30.243832,-85.916988
Alford,Jackson,Standard,32420,30.641154,-85.37542
Altha,Calhoun,Standard,32421,30.5403,-85.18229
Argyle,Walton,P.O. Box,32422,30.716494,-86.03889
Bascom,Jackson,Standard,32423,30.959504,-85.05644
Blountstown,Calhoun,Standard,32424,30.42007,-85.07299
Bonifay,Holmes,Standard,32425,30.838337,-85.67495
Campbellton,Jackson,Standard,32426,30.955359,-85.38288
Caryville,Washington,Standard,32427,30.821603,-85.806
Chipley,Washington,Standard,32428,30.636228,-85.5775
Clarksville,Calhoun,Standard,32430,30.438819,-85.24381
Cottondale,Jackson,Standard,32431,30.779196,-85.39371
Cypress,Jackson,P.O. Box,32432,30.713868,-85.0779
Defuniak Springs,Walton,Standard,32433,30.747244,-86.14665
Mossy Head,Walton,P.O. Box,32434,30.762486,-86.342683
Defuniak Springs,Walton,Standard,32435,30.603777,-86.12111
Ebro,Washington,Standard,32437,30.443152,-85.88079
Fountain,Bay,Standard,32438,30.488955,-85.41673
Freeport,Walton,Standard,32439,30.482838,-86.1675
Graceville,Jackson,Standard,32440,30.935306,-85.52171
Grand Ridge,Jackson,Standard,32442,30.698517,-85.01619
Greenwood,Jackson,Standard,32443,30.860528,-85.11142
Lynn Haven,Bay,Standard,32444,30.239849,-85.64577
Malone,Jackson,Standard,32445,30.961401,-85.16919
Marianna,Jackson,Standard,32446,30.804698,-85.2206
Marianna,Jackson,P.O. Box,32447,30.759353,-85.25712
Marianna,Jackson,Standard,32448,30.675635,-85.23283
Wewahitchka,Calhoun,Standard,32449,30.283088,-85.21892
Noma,Holmes,P.O. Box,32452,30.849972,-85.768022
Ponce De Leon,Holmes,Standard,32455,30.657214,-85.96035
Port Saint Joe,Gulf,Standard,32456,29.846517,-85.32792
Port Saint Joe,Gulf,P.O. Box,32457,29.902484,-85.242169
Santa Rosa Beach,Walton,Standard,32459,30.361248,-86.18759
Sneads,Jackson,Standard,32460,30.735645,-84.94563
Inlet Beach,Walton,Standard,32461,30.252531,-85.942389
Vernon,Washington,Standard,32462,30.563809,-85.82357
Wausau,Washington,P.O. Box,32463,30.631345,-85.58981
Westville,Holmes,Standard,32464,30.892936,-85.93988
Wewahitchka,Gulf,Standard,32465,30.045471,-85.22822
Youngstown,Bay,Standard,32466,30.373845,-85.52891
Pensacola,Escambia,Standard,32501,30.420997,-87.22305
